stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000088,88,Walnut Rise,,53.3772872552991,-6.2576992286456,,,,
8220DB000090,90,Albert College Ct,,53.3863855316738,-6.26526567275522,,,,
8220DB000091,91,Ballymun Road NS,,53.3884278896483,-6.26540814207682,,,,
8220DB000092,92,Ballymun Library,,53.389837,-6.264674,,,,
8220DB000093,93,Gateway Avenue,,53.392302,-6.264153,,,,
8220DB000094,94,Civic Centre,,53.3960347624115,-6.26437695995448,,,,
8220DB000102,102,Balbutcher Lane,,53.397773070166,-6.26771985697013,,,,
8220DB000104,104,Poppintree Parade,,53.399771,-6.276819,,,,
8220DB000105,105,Belclare Park,,53.4029363966818,-6.28169269646949,,,,
8220DB000107,107,Crannogue Road,,53.4023798987989,-6.28049690990612,,,,
8220DB000110,110,Ard na Meala,,53.3979386409613,-6.26860038147331,,,,
8220DB000112,112,Civic Centre,,53.3961544015462,-6.2639510403018,,,,
8220DB000113,113,Trinity Comp School,,53.3922679629262,-6.26370325464247,,,,
8220DB000114,114,Ballymun Road,,53.3913333220544,-6.26371122925237,,,,
8220DB000115,115,Ballymun Rd Ch,,53.3879640919871,-6.26503610048148,,,,
8220DB000116,116,Griffith Lawns,,53.377693,-6.259667,,,,
8220DB000117,117,Walnut Rise,,53.377366,-6.257546,,,,
8220DB000118,118,Clare Road,,53.376643,-6.253592,,,,
8220DB000119,119,Whitehall Village,,53.375191,-6.250766,,,,
8220DB000126,126,Nursing Home,,53.399096,-6.264087,,,,
8220DB000127,127,Nursing Home,,53.3991075304805,-6.26368042823971,,,,
8220DB000128,128,Glasnevin Avenue,,53.389268,-6.26569,,,,
8220DB000129,129,Glasnevin Drive,,53.38989,-6.271423,,,,
8220DB000130,130,Glasnevin Park,,53.390092,-6.274181,,,,
8220DB000131,131,Willow Park Road,,53.390386,-6.278349,,,,
8220DB000132,132,Beneavin Park,,53.3905207424932,-6.2827191236982,,,,
8220DB000134,134,Grove Road,,53.393095,-6.286074,,,,
8220DB000136,136,McKee Rd N,,53.39438,-6.289857,,,,
8220DB000137,137,McKee Road,,53.392317,-6.292631,,,,
8220DB000138,138,St Canice's BNS,,53.3899950092672,-6.29180657264741,,,,
8220DB000139,139,Grove Park Road,,53.390602,-6.28646,,,,
8220DB000140,140,Beneavin Park,,53.3906344923641,-6.28250404674216,,,,
8220DB000141,141,Willow Park Road,,53.3904450850916,-6.27809124468715,,,,
8220DB000142,142,Glasnevin Park,,53.3901982852621,-6.27407172195534,,,,
8220DB000143,143,Willow Park Avenue,,53.389876708405,-6.2692433699802,,,,
8220DB000146,146,Na Fianna GAA Club,,53.3750401276319,-6.26509558567468,,,,
8220DB000147,147,Tolka Br,,53.37248,-6.265831,,,,
8220DB000148,148,Mobhi Road,,53.3706701663468,-6.26806850705825,,,,
8220DB000149,149,Tolka Br,,53.373139,-6.265985,,,,
8220DB000150,150,Na Fianna GAA Club,,53.3756588461862,-6.26499528302822,,,,
8220DB000151,151,Botanic Gardens,,53.371955,-6.269294,,,,
8220DB000153,153,Met Éireann,,53.375689,-6.270134,,,,
8220DB000154,154,Cremore Ave,,53.377259,-6.275557,,,,
8220DB000155,155,Ol Finglas Rd,,53.37792,-6.27951,,,,
8220DB000156,156,Northland Gr,,53.378623,-6.281665,,,,
8220DB000157,157,Tolka Estate,,53.380412,-6.281638,,,,
8220DB000158,158,Griffith Road,,53.381482,-6.283564,,,,
8220DB000159,159,Griffith Parade,,53.3827837191573,-6.28283511246108,,,,
8220DB000163,163,Ferndale Ave,,53.387151,-6.279637,,,,
8220DB000170,170,Ferndale Ave,,53.386966,-6.279269,,,,
8220DB000173,173,Glasnamana Pl,,53.382122,-6.280547,,,,
8220DB000174,174,Tolka Estate,,53.3806803549474,-6.28095056210771,,,,
8220DB000175,175,Northland Gr,,53.378424,-6.281568,,,,
8220DB000176,176,Ol Finglas Rd,,53.378032,-6.279299,,,,
8220DB000177,177,Glasilawn Road,,53.380468,-6.276224,,,,
8220DB000178,178,Ballygall Rd E,,53.38189,-6.276347,,,,
8220DB000179,179,Glasilawn Road,,53.380303,-6.276005,,,,
8220DB000180,180,Cremore Crescent,,53.37844,-6.276396,,,,
8220DB000181,181,Cremore Ave,,53.37715,-6.274224,,,,
8220DB000182,182,Met Éireann,,53.375657,-6.269805,,,,
8220DB000183,183,Botanic Gardens,,53.372316,-6.268753,,,,
8220DB000184,184,Fairfield Rd,,53.369704,-6.268979,,,,
8220DB000185,185,Wayfinding Centre,,53.368101,-6.270021,,,,
8220DB000186,186,Hart's Corner,,53.365355,-6.27159,,,,
8220DB000187,187,Munster Street,,53.362734,-6.272447,,,,
8220DB000188,188,Doyle's Corner,,53.360121,-6.272583,,,,
8220DB000189,189,Phibsborough Road,,53.357167,-6.273469,,,,
8220DB000190,190,Broadstone,,53.3551257304144,-6.27337107400574,,,,
8220DB000191,191,Western Way,,53.35514,-6.26981,,,,
8220DB000192,192,Mountjoy Street,,53.356397,-6.268077,,,,
8220DB000193,193,Clune Road,,53.391196,-6.294104,,,,
8220DB000194,194,Western Way,,53.3550406495518,-6.26997931103774,,,,
8220DB000195,195,Broadstone,,53.3550117778767,-6.27357097973096,,,,
8220DB000196,196,Phibsborough Road,,53.356884,-6.273751,,,,
8220DB000197,197,Monck Place,,53.358953,-6.273231,,,,
8220DB000198,198,Doyle's Corner,,53.361625,-6.272838,,,,
8220DB000199,199,Munster Street,,53.363622,-6.272291,,,,
8220DB000200,200,Prospect Way,,53.367423,-6.271596,,,,
8220DB000201,201,Wayfinding Centre,,53.368291,-6.270119,,,,
8220DB000202,202,Fairfield Rd,,53.37008,-6.268904,,,,
8220DB000203,203,Whitehall Village,,53.376393,-6.25001,,,,
8220DB000204,204,Plunket College,,53.379588,-6.246662,,,,
8220DB000205,205,Iveragh Road,,53.381375,-6.245326,,,,
8220DB000206,206,Larkhill Rd,,53.383546,-6.247477,,,,
8220DB000207,207,Larkhill Road,,53.384822,-6.249875,,,,
8220DB000208,208,Glendun Road,,53.3866539303158,-6.24795040815756,,,,
8220DB000209,209,Larkhill Road,,53.387271,-6.24591,,,,
8220DB000210,210,Crestfield Road,,53.387594,-6.248318,,,,
8220DB000211,211,Falcarragh Rd,,53.384281,-6.24916,,,,
8220DB000212,212,Larkhill Rd,,53.383196,-6.246258,,,,
8220DB000213,213,Iveragh Road,,53.38145,-6.244872,,,,
8220DB000214,214,Plunket College,,53.379408,-6.246655,,,,
8220DB000215,215,Whitehall Cross,,53.381872,-6.242449,,,,
8220DB000216,216,Yellow Road,,53.382331,-6.238191,,,,
8220DB000217,217,Grace Park Ct,,53.384324,-6.236801,,,,
8220DB000218,218,Shantalla Road,,53.385924,-6.233788,,,,
8220DB000220,220,Shantalla Br,,53.38794,-6.244981,,,,
8220DB000228,228,Shanliss Road,,53.391877,-6.25972,,,,
8220DB000233,233,Shantalla Road,,53.385821,-6.233537,,,,
8220DB000234,234,Beaumont Grove,,53.384951,-6.234821,,,,
8220DB000235,235,Grace Park Ct,,53.383297,-6.237249,,,,
8220DB000236,236,Yellow Road,,53.38208,-6.23819,,,,
8220DB000237,237,Whitehall Cross,,53.382032,-6.243525,,,,
8220DB000242,242,Coolgreena Rd,,53.385655,-6.23201,,,,
8220DB000243,243,Beaumont Crescent,,53.38578,-6.22954,,,,
